-1:45 | (Member (2 months)) third12[三塁]
40:23 | (Member (6 months)) AR27: CONGRATS :party_popper::party_popper::party_popper:
40:24 | (Member (2 months)) *₱125.00* Van : the song is beautiful the scam is forgiven :loudly_crying_face::folded_hands:
40:33 | (Member (6 months)) ChickenKaichou: :_MilliePog::_MilliePog::_MilliePog:
40:45 | (Member (6 months)) *MYR 6.00* Kon Koffee: Millie your original is an absolute banger!! :smiling_face_with_heart_eyes::red_heart:
40:46 | *CA$6.99* Yuki Usada: let’s gooooooo!!!
40:47 | (Member (6 months)) GustyPizza: :_MillieFlushge::_MillieFlushge::_MillieFlushge:
40:53 | (Member (2 months)) *NT$300.00* Yumiʕ •ᴥ•ʔ: :_MillieHeart:
40:57 | (Member (6 months)) jinxszedジンクス†: MILLIE U ARE THE CUTEST WITCH EVER :_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:
40:58 | (Member (6 months)) *MX$25.00* Owlyfans Ch.: Cute!
41:14 | (Member (6 months)) *₱250.00* @VJ: Congrats on the new song and new costume! So proud of you :_MillieHeart:
41:16 | *$5.00* vante2: No booba to rest head against; sadge; washing board pillow
41:20 | (Member (6 months)) Dharam: there's so much going on in this stream:_MillieSweat:
41:36 | *$1.99* Kat: Mom said slow down so she can tweet! :face_with_tears_of_joy:
41:52 | (Member (6 months)) Noir Zero /ノイル ゼロ : :_MillieFlushge::_MillieTskr::_MillieLetterM::_MillieLetteri::_MillieLetterL::_MillieLetterL::_MillieLetteri::_MillieLetterE::_MillieHeart::_MillieFlushge::_MillieLuciekek:
41:55 | (Member (6 months)) *₱250.00* Bulalo35: I'm really happy to witness this, and I am truly happy for you. Love ya boss!!!
42:02 | (Member (6 months)) *$10.00* OZ: hahahahhahah
42:08 | (Member (2 months)) _kfine_: NO BOING??
42:12 | (Member (6 months)) Lepotatochip: □□□□
42:14 | (Member (6 months)) P. 〜: JAJAJAJAJAJAJAJA
42:14 | *$2.00* GALIL_Weevil33 Twitch & Youtube: SCAMMED
42:18 | *₱125.00* CHRSTN: boba scam
42:19 | *PEN 2.00* Marcelo Ballon: MILLIE THAT PINK HAIR PARTS 10/10 but no booba :C
42:19 | (New member) Meeshi
42:19 | (Member (2 months)) Zee: the costume is real the boba is stuffed tissues
42:19 | (Member (2 months)) Zalfuse: :_MillieHeart:Booba are broken, staff-san please fix. New outfit looks super cute Millie! 
42:23 | (Member (6 months)) Paradise Lost [#484]: :_MillieCope::_MillieCope::_MillieCope:
42:25 | (Member (6 months)) *₱125.00* Odran: Sabi ko na nga ba chismis lang yung siopao pusa eh :_MillieBurn:
42:25 | (Member (2 months)) Priichan: MILLIE IT'S KARMA . STOP :_MillieCope:
42:27 | (Member (6 months)) *$2.00* espyboy: NijiFlat4Life
42:36 | (Member (2 months)) Airborne Ninja: No Jiggle? Hazukashii
42:37 | (Member (2 months)) *$5.00* pockydonut: sorry it's defective, here's some return shipping funds
42:41 | *₱125.00* ShioriPon: MILLIE! I love your new outfit! ... and congrats on the smol booba! xD
42:42 | (Member (6 months)) *CLP 1,000* RowJ: I've seen mountains shake more than those bobas~.
42:45 | (Member (2 months)) Akiryu Vel: It's ok Millie we still love you :_MilliePat::_MillieHeart: YOU'RE GORGEOUS!!!
43:01 | (Member (6 months)) Delta 57 Dash: Gifted 50 Millie Parfait【NIJISANJI EN】 memberships
43:02 | (Member (6 months)) facer345: long hair millie tskrr, CONGRATS ON THE NEW OUTFIT ATE MILLIEEEE
43:09 | *R$5.00* Gabriel Kronos: We lost the Hat, but we gained so much more
43:13 | (Member (2 months)) *HK$78.00* Reiko: OMG MY HEART :loudly_crying_face::loudly_crying_face::loudly_crying_face::red_heart::red_heart::red_heart: MILLIE SO CUTE
43:16 | (Member (6 months)) Dale: so cuuuuuuute
43:17 | (Member (2 months)) *SGD 20.00* アンピエルAnpiel: OMG YOU ARE SOOOO CUUUUTE MILLIEEEEEEEE!!!!
43:18 | *$1.99* cristal 💤: YOURE SO CUTE :pleading_face::orange_heart:UEUEUEUE:loudly_crying_face:
43:19 | (Member (6 months)) Kat: WAHHH SO CUTE IM GONNA CRY
43:20 | (Member (2 months)) jared arenas: can u move your ear???!!?!! wow
43:20 | *$4.99* Salty Z3r0: Cute !
43:20 | (Member (6 months)) *$5.00* Zer0Pendragon6 Lucie’s Fan: CUTE CUTE CUTE!!!! MY KAMI-OSHI IS SO CUTE!!! :_MillieHeart::_MillieHeart::_MillieHeart:
43:22 | (Member (2 months)) *₱50.00* NOBLE🚪🔑: CUTTEEEEE
43:28 | (Member (2 months)) 🔗채tsaiyiyiyi일🥽: aaaa soooo cute □:_MillieHeart:
43:31 | *$10.00* Ranivus Ch: 42K WATCHING!!! CONGRATS!!
43:32 | (Member (2 months)) *$10.00* Zingly06: A CROWN??? NEW OSHI!
43:33 | *¥1,600* モッキーと栗拾いのMina🌰: Aaaaaa millie-chan super cuteeeee†┏┛墓┗┓†
43:33 | (Member (6 months)) のい(noy): very cute:_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:
43:33 | *$10.00* Vivek: omg our kyute witch got a glow up the hair is so so gorgeous I love it so much congrats
43:39 | (New member) 懐
43:39 | (Member (1 month)) *$5.00* starlit_radiant: Congrats on the Queen (and Booba!) upgrade!!! 
43:41 | (Member (2 months)) Kureiji Rrazz: You're so cuuuuute! :_MillieHeart::_MilliePat:
43:41 | *$2.00* WireSun7: CUTEEEE!!
43:44 | (Member (2 months)) Mojey: MILLIE YOU'RE SO ADORABLE OMFGOFMGFOMGFOGM:_MillieHeart::_MillieHeart::_MillieHeart::_MillieHeart:
43:47 | (Member (6 months)) Dan Weg: Gifted 5 Millie Parfait【NIJISANJI EN】 memberships
43:50 | (Member (6 months)) llamaninja_: catgirl millie :eyes:
43:50 | (Member (2 months)) Hika: So cute :_MillieHeart::_MillieHeart::_MillieHeart:
43:54 | *₱99.00* Crispy Mercenary: Scammas
43:56 | (Member (2 months)) Lavena: □□□cute Millie 
43:56 | (Member (6 months)) Xrosraiser: Scammed but super cuteeeeeeee
43:56 | (Member (6 months)) Blamade: CUTE CAT PSPSPSPS :_MillieHeart::_MillieHeart::_MillieHeart:
43:58 | *A$14.99* strawberrymilk: Hands down best outfit reveal 
44:00 | (Member (6 months)) D3stroyer_551: WE LOST THE HAT BUT WE GOT A CROWN LETS GOOOOOO
44:01 | (Member (2 months)) Kiyo: So cute :red_heart: :red_heart: I love this
44:02 | (Member (2 months)) Silarial: You look adorable! :_MillieHeart:
44:04 | (Member (2 months)) Angel: You're so pretty Miss Ma'am!!!! □□
44:06 | (Member (2 months)) Alok - KFP TakoPeep Delivery Guy: You can have the size but not the physics
