1:09 | (Member (2 months)) starDust: Lets Gooooooo Ikeyyyy:_glowstick1::_fanboy::_glowstick2:
1:10 | (Member (6 months)) FourCloveredLeaf: :_fanboy::_fanboy::_fanboy:
1:10 | (Member (6 months)) Choya★ NOT WINE: :blue_heart::_glowstick1::_cheer::_glowstick2::blue_heart:
1:10 | (Member (1 month)) Chaii Wu: :_glowstick1:Ikeeeee:_glowstick2::_glowstick1:Ikeeeeee:_glowstick2::_cheer::_cheer::_cheer:
1:10 | (Member (2 months)) Pleiades [starlitteas]: IKEY WIKEY KAWAIIIIIIIII!!!!!!!
1:11 | (Member (6 months)) Una: :_cheer::_cheer::_cheer:Let's Goooooo
1:11 | (New member) Chimera
1:11 | (Member (2 months)) kiter: :_cheer::_cheer::_cheer:
1:12 | (Member (1 month)) Cheese: Let’s go oooooooooooo
1:13 | (Member (2 months)) りづ: :_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
1:13 | (Member (6 months)) む: :_glowstick1::_glowstick1::_cheer::_glowstick2::_glowstick2:
1:14 | (Member (6 months)) 神原のぞみ: アイクくん:_glowstick1::_fanboy::_fanboy::_fanboy::_glowstick2:
1:14 | (Member (2 months)) Like: :_cheer::_cheer::_cheer::_cheer::_cheer::_strawberry:
1:14 | (Member (2 months)) 日青Ching: IKZ!!!!!!:_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
1:14 | (Member (2 months)) Vici: :_cheer::_cheer::_cheer:
1:14 | (Member (2 months)) Echo_o: KARAOKE!!!:_cheer::_cheer::_cheer:
1:15 | (Member (6 months)) Yalena(雅玥):  IKEY:_glowstick1: WIKEY:_glowstick2: KAWAII:_cheer::_cheer::_cheer::_cheer::_fanboy::_fanboy::_fanboy:
1:15 | (Member (1 month)) Suko: :_cheer::_cheer::_cheer::_cheer:let's gooooo
1:16 | (Member (6 months)) つむ: :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
1:17 | (Member (6 months)) UI: :_cheer::_cheer::_cheer:
1:17 | (Member (2 months)) 苙葭 - Tori -: :_cheer::_cheer::_cheer::_cheer::_cheer:
1:17 | (Member (6 months)) 鄭依潔: :_fanboy::_fanboy::_fanboy:
1:18 | (Member (6 months)) Rou*: :_cheer::_cheer::_cheer:
1:19 | (New member) ulamu Meljita
1:19 | (Member (6 months)) mako: :_glowstick1:Ikey:_cheer:Wikey:_fanboy:Kawaii:_glowstick2:
1:19 | (Member (1 month)) 海苔巻きくん: :_cheer::_cheer::_cheer:
1:19 | (Member (6 months)) Yee Ling: :_fanboy::_fanboy::_fanboy:
1:20 | (Member (2 months)) 天子笑: :_fanboy::_fanboy::_fanboy:
1:20 | (Member (6 months)) rusha: LETS GO IKEEEEE YOU GOT THIS :_fanboy::_fanboy:
1:20 | (Member (6 months)) Plantty: :_glowstick2::_glowstick2::_glowstick2::_glowstick2::_glowstick2::_glowstick2::_glowstick2:
1:20 | (Member (2 months)) 楊大點Doris: :_cheer::_cheer::_cheer:
1:21 | (Member (2 months)) 律希__りつき🎶: Let's goooooooo!!!! Ikey is the best!!!:blue_heart:
1:21 | (Member (1 month)) Rizu Kanina: :_glowstick1::_cheer::_glowstick2:
1:22 | (Member (6 months)) Lin: IKZ:_fanboy::_fanboy::_fanboy:
1:22 | (Member (6 months)) 🍮Pu-pudding: :_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy::_fanboy:
1:23 | (Member (2 months)) Sen 🖋️: WOOOO IKZZ!!:_glowstick1:IKEY:_cheer:WIKEY:_glowstick2:KAWAII:_fanboy:
1:24 | (Member (1 month)) みずきちゃん: Let's goooooooooo!!!!!!
1:24 | (Member (6 months)) よしろう: Let's gooooooo
