-2:49 | (New member) jajai
2:37:52 | (Member (2 months)) *NT$150.00* usagihosi: Shu shot me
2:40:29 | (New member) Laila
2:41:13 | (New member) segi
2:42:56 | (Member (1 month)) Ayahane: 2 months:_ShuLove:
2:43:18 | (Member (2 months)) SueSue: So much fun!!!!! I can't sleep!!!!!!!:_ShuWorship::_ShuWorship::_ShuWorship:
2:43:32 | (Member (2 months)) *NT$150.00* Did Shu Meow Today?: shuot yamino really shot us today :_ShuPog::_ShuPog:(PS SHUGUR DADDIES LET'S GO)
2:44:17 | (New member) *₱249.00* kat | 🅱️ilkies dealer: Shu i would go marshall mazimizer on anyone that would call u nerd you’re cool talented brilliant incredible amazing show stoppong spectacular unique
2:47:54 | (Member (2 months)) *NT$300.00* 米米: YOU SHOT US:_ShuItchy: WE ARE ALL DEAD TODAY:_ShuWorship:
2:48:20 | (New member) suan S
2:49:48 | (Member (2 months)) *NT$300.00* Seren: You shot us:_ShuCOPIUM: Yaminions are dead
2:50:39 | (New member) tiramisu
2:51:07 | (New member) kathyaya
2:51:31 | (New member) *HK$78.00* Eiling: cool！！
2:51:33 | (Member (2 months)) Lady Waffle
2:52:38 | (Member (2 months)) *HK$100.00* うめチヒロ: YOU SHOOT US:_ShuCOPIUM:
2:54:35 | (Member (2 months)) *£5.00* シモモ: the rivals between the brother... this match is so awesome I love you all too much
2:54:38 | (Member (1 month)) 🍌🍌YUI Kusakabe: I just find out I can send this happy banana day and HE SHOT ME:purple_heart::hot_face:
2:57:11 | (Member (2 months)) *¥10,000* Leah W
3:01:34 | (Member (1 month)) *NT$150.00* RX: HOP ON VALORANT!!!!!
3:05:10 | (Member (2 months)) *MYR 150.00* 🍌🍌荒川Aya: YOU SHOT ME:_ShuItchy: TSKR:_ShuWorship:
3:05:24 | (Member (2 months)) *₱125.00* Kei 🐈: You guys are doing so well! :grinning_squinting_face: Let's goooooo!!!
3:05:47 | *NT$300.00* Edie Lai: Let's gooooooooooooo
3:11:45 | (New member) JCAK 🖋
3:13:09 | (New member) 千 Chien
3:13:34 | (Member (1 month)) *HK$25.00* Purinko: Shu Gaming!!! This collab is so much fun!!!! Thank you!!!! 
3:13:50 | (New member) じゅうじゅ朱朱
3:14:24 | (New member) Patricia Piol
3:19:28 | (Member (2 months)) IZAYA: :_ShuLove:
3:21:00 | (New member) MsXx43x
3:22:22 | (Member (2 months)) *HK$50.00* Kurika
3:23:30 | (Member (1 month)) *NT$75.00* 天城アリス∆Alice Amagi: you are Shu Kamino today :hot_face::hot_face:
3:24:06 | (Member (2 months)) *CA$10.00* a potato: ACE!!
3:24:13 | (Member (2 months)) *¥10,000* Leah W
3:24:15 | (Member (1 month)) *HK$25.00* alice Ching Ching
3:24:15 | (Member (2 months)) *¥10,000* 海鮮丼: POG
3:24:17 | (Member (2 months)) *HK$500.00* Seiso Gie: I love you my ACE:_ShuItchy:
3:24:17 | (Member (2 months)) *¥10,000* Arita: ACE LETS GOOOOO!!!!!!
3:24:24 | (New member) *NT$1,500.00* リンユ: NICEEEEEEEE
3:24:26 | (Member (2 months)) *₱250.00* Hewwo
3:24:29 | (New member) *₱500.00* Miso: ACE YAMINO
3:24:30 | (Member (2 months)) *¥10,000* 佐久良
3:24:31 | (Member (2 months)) Winky :3: SHEESHHH SHU GAMINOOO:_ShuPog::_ShuPog::_ShuPog::_ShuLove:
