-4:37 | (Member (6 months)) OkTank
48:40 | (New member) Jack Galileo
48:52 | (Member (6 months)) *$10.00* Airborne Ninja: She is no longer baby, she now desires power
48:58 | *$10.00* KisseYu: Good Evening your adorableness and highness Onee-chan Princess of Penguin Kingdom, Petra Gurin, Ojou-sama *bow :smiling_face_with_heart_eyes:
49:08 | *$2.00* Rogue: No longer pettan I see.
49:16 | (Member (6 months)) *MX$50.00* Miguel Macias: OMG OMG Petra you look absolutely BEAUTIFUL!! :loudly_crying_face::loudly_crying_face::loudly_crying_face: sorry if I ever bullied you petra-sama, I'm at your feet from now on :folded_hands:
49:31 | *¥2,440* のだら [天下取りのブルー]: とってもかわいい新衣装おめでとうー！ かわいいお洋服着こなせるペトラちゃん素敵です！言葉にならないくらいにかわいい:loudly_crying_face::revolving_hearts: ペトラちゃん大好きだよ！ももこママは天才だ:sparkles:
49:45 | (Member (6 months)) *MYR 6.00* Zhi Jian: give back 3* pettan petra
50:17 | (New member) llOK-洛
50:40 | *¥140* お豆腐大提督
51:07 | *$10.00* Vivek: long haired Petra is true justice
51:39 | (Member (2 months)) *$243.40* Vanilla Thunder バニラサンダー: #1 mit pentomo is selling me his kidney to sponsor you this message, congrats on the amazing new look! 
52:36 | (New member) Sapphire
53:14 | *$2.00* Majin D: you did an amazing job with the edits 
53:43 | (New member) Binns
55:08 | (Member (6 months)) *€20.00* dasBente: The outfit turned out absolutely amazing! I am in awe :_petoLove::_petoLove: 
55:15 | *¥500* Jedi Grand Master pooh: あら〜^^おしゃれしちゃって〜！
55:33 | (New member) Deni
55:45 | (New member) Krodnel
55:57 | (Member (6 months)) Blue Spirit: Congratulations on the beautiful outfit, love the hands:nail_polish:
56:09 | (Member (6 months)) *$5.00* Usny: your really sent your edit back to your mama like "more war crimes please"
57:19 | (Member (1 month)) 墨黎ロナ: TSKRRRRRR:_petoLove:
1:00:27 | *¥10,000* メリー: 新衣装おめでとう！少し大人っぽくなって1年間の成長を感じられるとても良い衣装ですね。めちゃかわいい！！！
1:01:32 | (Member (6 months)) *R$10.00* Thiago TGM: Ok now Obsydia new new outfits when
1:02:14 | (Member (6 months)) *€10.00* Mirko D: You look stunning Petra!:orange_heart::orange_heart: The design and color scheme look beautiful. It looks more mature then before but it still bewares your cuteness.I welcome our military leader and Pentomo Idol Petra Gurin!:orange_heart::orange_heart:
