Timestamp,Name,Comment,Language
56:13,| (New member) 🐇 enjel, :_butaThorny::_butaThorny::_butaThorny::_butaThorny::_butaThorny:,en
1:09:22,| Pete, BUT YOU ARE PRESSING ALL THE RIGHT BUTTONS ALREADY,en
2:59:19,| KimiyoCake, they sung so good that the internet couldn't keep up :rainbow::rainbow:,en
31:54,| Fabiola, :baguette_bread::baguette_bread::baguette_bread:,en
3:39:06,| (Member (2 months)) mon__san, welcome back Vanta,en
1:25:06,| Kanina, teh teh:purple_heart::yellow_heart:,en
1:30:18,| ギン, what ,en
5:14:40,| Nope., Max and ruby???,en
31:53,| (Member (2 months)) NadiaAAAH, ear cupping!,en
20:47,| (New member) jussi., AAAAAAAA I LOVE IT AAAAAA,en
56:48,| 뮷퐁, :blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart::blue_heart:,en
26:22,| (Member (1 month)) Reppepmint, Heartbeat please,en
2:43:03,| Red_Ducky, Hi Doppiiii:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:I think you forgot to do the winner thing with Aster,en
4:47,| ALeXCV, CUUUUTE,en
6:35,| matchaaa_luna, THE MIC IS SO PRETTY WAAA,en
36:08,| minimina, LETS GET IT STARTED,en
37:35,| イイミン, :hot_face::hot_face::hot_face::hot_face:,en
21:21,| _SilentFandoms_, the lovely red!,en
11:58,| itsdeen, this is one of my faves enna :crying_face:,en
12:41,| 砂糖, :clapping_hands::clapping_hands::clapping_hands:,en
9:30,| Tony🎶🎧, :baguette_bread::baguette_bread::baguette_bread::baguette_bread::baguette_bread:,en
2:17:41,| (Member (2 months)) RaringToGo, SAME UKI!! i mean what?! no,en
40:51,| Yu Xuan☔️, :blue_heart::blue_heart::blue_heart:,en
1:14:29,| yunipy, :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:,en
4:52:54,| Rainya Jiang, :red_heart::black_heart::purple_heart::white_heart::sparkling_heart::blue_heart:,en
2:24:58,| (New member) Misha Leong, You made through the scuff:_MariLight2::_MariLight:,en
18:37,| neli, CUTE,en
3:26:18,| (New member) default, :face-fuchsia-tongue-out::face-red-heart-shape:,en
4:50:17,| (Member (2 months)) honey bleu, :_heart::_heart::_heart:,en
30:12,| (Member (2 months)) Sylvia Green, Thank you:_AlbanCry:,en
1:18:25,| Hanni ハニ ☆, WHY THI IS SO SAD IM CRYING,en
7:47,| kimdokjalover, :orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart:EWIWA AND PETRA!!!!!!:orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart::orange_heart::blue_heart:,en
6:09,| Cahya Bulan, :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:,en
1:36:43,| (New member) WANG羿慈, :purple_heart::purple_heart::purple_heart::purple_heart:,en
15:17,| Forever🕊, :blue_heart:IKEY:blue_heart:WIKEY:blue_heart:KAWAII:blue_heart:,en
12:05,| Kyle Ched, :purple_heart::purple_heart::purple_heart::purple_heart:,en
1:45:38,| Miêu Miêu," Maybe PAT PAT, my name mean Cat:shelterin::shelterin::shelterin:",en
1:17:27,| (Member (2 months)) Daniel, :_ShuPauseChamp::_ShuPauseChamp::_ShuPauseChamp::_ShuPauseChamp:,en
47:38,| (Member (1 month)) 若葉, :_glowstick1::_fanboy::_glowstick2:,en
