1:25 | (Member (2 months)) Shiyu【🔮💜】: :_UkiCheer1::_UkiComfy::_UkiCheer2:
1:25 | (Member (1 month)) NekoMaru: hi
1:25 | (New member) Iori Momoko: Ukiiii:_UkiHeart::_UkiHeart::_UkiHeart:
1:25 | (New member) Angelkss || Orange blood era: :_UkiComfy::_UkiComfy:
1:26 | Amy ☆⋆｡𖦹: it’s 9am for me, im studying haha
1:26 | ddanizs: I just woke up and this is the best thing I got early in the morning
1:27 | 世紀大盤子: UKIIIIIIIIIIIIIIIIIIII:purple_heart::purple_heart::purple_heart::crystal_ball::crystal_ball::crystal_ball:
1:27 | Crystolskull: Ukiiiiiiiii
1:28 | kiki: Lmaoo oreo 
1:28 | (Member (1 month)) Ting: :_UkiHeart:
1:29 | Bliss☆Kitə: UKI UKI DAISUKI
1:29 | Tanya F: Hi uki!
1:29 | (Member (1 month)) Źa9: :_UkiHeart::_UkiHeart::_UkiHeart:
1:29 | Ren: hello
1:30 | (Member (1 month)) 小ㄐ: Hiii uki:_UkiWahh:
1:30 | (New member) amiraaa: :_UkiHeart::_UkiHeart::_UkiHeart:
1:30 | (Member (2 months)) しおん·: :_UkiHeart::_UkiHeart::_UkiHeart:
1:30 | Me First: Hihi uki
1:31 | Kat_ilabs: It’s morning for me here so good morning 
1:31 | (Member (2 months)) Ruinemu: :_UkiWoo1::_UkiWoo1::_UkiWoo1:
1:31 | アン: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:31 | toki toki: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:31 | Venii: UKIII
1:32 | 愛璃 Airi: uki 
1:32 | imdoggod: helloo :purple_heart::purple_heart:
1:32 | KICECREAM: :purple_heart::purple_heart::purple_heart:
1:32 | c: :purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart::purple_heart:
1:33 | Yannick: Hi Uki <3
1:33 | (New member) andrew m: hi uki!!!! :_UkiHeart::_UkiHeart::_UkiHeart:
1:33 | Imma eatcheese: I LOVE YOUUUUUU
1:34 | (New member) ぷに: :_UkiHeart::_UkiHeart::_UkiHeart:
1:34 | sour: hiiii:purple_heart::purple_heart::purple_heart:
1:35 | (Member (2 months)) alleycat: :_UkiHeart::_UkiHeart::_UkiHeart:
