1:04 | imdoggod: :purple_heart::blue_heart::yellow_heart:
1:05 | Mayrin Peredia: :purple_heart::blue_heart::yellow_heart:
1:05 | •Mango-Harmony• 💜♈️: :purple_heart::blue_heart::yellow_heart:
1:05 | rxdiantfaith: CAW CAWWWW :purple_heart::blue_heart::yellow_heart:
1:06 | Ava Quinn: Caw Caw :purple_heart::purple_heart::purple_heart:
1:06 | midnight_lover: CAWCAWWWWWWW:purple_heart::blue_heart::yellow_heart:
1:06 | MKuzu: :purple_heart::blue_heart::yellow_heart:yessss BGM BANGERR 
1:07 | pumpkin: :purple_heart::blue_heart::yellow_heart:
1:07 | Nanjiro Nanaya: :fire::fire::fire:
1:07 | ๑Velouette Popescu๑: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:08 | Angel132: :purple_heart::blue_heart::yellow_heart:
1:08 | Shadowcat 🔅: CAW CAW :purple_heart:
1:08 | 𓆩𝐑𝐈𝐕𝐊𝐀⚜️𝐂𝐑𝐎♛𝐍𓆪: :purple_heart::blue_heart::yellow_heart:
1:09 | Orthan: lest goooo
1:09 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:09 | Reyna 💉🧻: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:09 | •Mango-Harmony• 💜♈️: :purple_heart::blue_heart::yellow_heart:
1:09 | Raniag: :purple_heart::blue_heart::yellow_heart:
1:09 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
1:09 | Niume.i 🕊️🃏: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:10 | Kaz: :purple_heart::blue_heart::yellow_heart:
1:11 | ElizabethVillion: Caw cawr
1:11 | Mayrin Peredia: :purple_heart::blue_heart::yellow_heart:
1:11 | Anonymous Hippo: 💃🏿🕺🏾💃🏿🕺🏾💃🏿🕺🏾
1:12 | saia 🐣: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
1:12 | Afsara Maliha: CAW CAW
1:12 | Chypcha:  :purple_heart::blue_heart::yellow_heart:
1:13 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:13 | Wei Lin QuQ: :purple_heart::blue_heart::yellow_heart:
1:14 | Jenny: :purple_heart::blue_heart::yellow_heart:
1:14 | Doughnut 253: Woooooo!!!!!
1:14 | 🦋 l e x i 🦋: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:14 | OKAYkatieOKAY: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:14 | Anonymous Hippo: :blue_heart::purple_heart::yellow_heart:
1:14 | HektorsMan: He gonna (get) carry!!! CawCaw!
1:15 | Cyii: LETS GO LETS GO KRISIS 👏🏾👏🏾
1:15 | Viin: :purple_heart::purple_heart::purple_heart:
1:15 | nowat: :eagle::eagle::eagle::eagle::eagle::eagle::eagle:
1:16 | MKuzu: Caw Caw!!:purple_heart::blue_heart::yellow_heart:
1:16 | 《 Leentoshi 》リーントシ: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:17 | Aqua Estrella: :purple_heart::blue_heart::yellow_heart:
1:18 | bluclovers: CAW CAW
1:18 | SearingWrath: CAW CAW:purple_heart::blue_heart::yellow_heart:
1:18 | Pankae: :woman_dancing::woman_dancing::woman_dancing::purple_heart::blue_heart::yellow_heart:
1:18 | Soruu: CAW CAW :purple_heart::blue_heart::yellow_heart:
1:18 | •Mango-Harmony• 💜♈️: CAWWWWW :purple_heart::blue_heart::yellow_heart:
1:19 | Blye: CAW CAWWW :purple_heart::blue_heart::yellow_heart:
1:19 | Betty Potato: CAWCAW :purple_heart::blue_heart::yellow_heart:
1:19 | Roku 禄: :purple_heart::blue_heart::yellow_heart:
1:19 | Rose: CAW CAW CAWW
1:20 | Kúkuti: I have the 3 streams open, I will go crazy
1:21 | Melomoriz: :yellow_heart::purple_heart::blue_heart:
1:21 | LynxETheSharkCat: hello
