0:38 | (Member (1 month)) るいん: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:38 | (Member (2 months)) 。 sao: Hi chat:_MiPOG:
0:38 | TheCatDevi: HELLO MILOOORRRDDDD :red_heart:
0:38 | (New member) Lonicera🍀: hello
0:38 | (New member) little sang: daddy
0:38 | (Member (1 month)) Senu: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:39 | 維尼Heidi: Heheheh HI chat！！
0:39 | (New member) Cherry Bread: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:39 | Kylee Cat: uh oh
0:39 | (New member) transylvictor: WOOO 
0:39 | junobby: hiii
0:39 | (Member (2 months)) ななな: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:39 | ņįŕəmįçə: c-can i sleep on ur chest milord ?
0:39 | cinnamonpsyborg: :red_heart::red_heart::red_heart::red_heart: hello!!!!!
0:39 | 修puppy: hiiiiiiiiiiii～:red_heart::red_heart::red_heart::beating_heart:
0:39 | (New member) Vermouth: Daddy
0:39 | darcychoi: HIIII
0:40 | Hideous Parade: Hellooooooo
0:40 | Ryu⛩🧧: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:40 | まるち: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:40 | MinS: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:40 | ♤Moonlight_lunaz♤: hello:virtualhug:
0:40 | _.mizuchi._: HEY MILORD HEY EVERYONE !!
0:40 | ooga booga: 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
0:40 | Cora Kodenza: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:40 | zhizhuwang🕸: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:40 | (New member) Jan ploop: :red_heart::red_heart::red_heart::red_heart::red_heart:
0:41 | Hina Honey: IKZZZZZ
0:41 | Prisasfia Anabela: MILORD :red_heart:
0:41 | ̶z̶h̶e̶n̶.̶: :red_heart::red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:
0:41 | (New member) Akari_OvO: DADDY ARE U OK RIGHT NOW？:_MiCry:
0:41 | (Member (1 month)) RinRin: :_MiSmile::_MiSmile:
