0:55 | (Member (2 months)) coldburns: :_YuQArson::_YuQHeart::_YuQArson:
0:56 | (Member (2 months)) mewo /ᐠ - ˕ -マ: RAHHHHH YU GANBAAA:_YuQHeart:
0:57 | yzabel ♡: woooo!!!
0:57 | Lia🌻: IKZ:fire::fire::fire:
0:57 | jen: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
0:57 | (Member (1 month)) Bobomo37: :_YuQArson::_YuQArson::_YuQArson:
0:57 | (Member (1 month)) jill ♡: ohayuu!! let’s gooooo :_YuQHeart::_YuQHeart::_YuQArson:
0:57 | (Member (1 month))  suykimim (^｡^): yipppee
0:57 | (Member (1 month)) ⭐️haru⭐️: :_YuQArson::_YuQArson::_YuQArson:
0:58 | (Member (2 months)) DuskFadedToDawn: :_YuQArson::_YuQArson::_YuQArson: IKZ~!
0:58 | (Member (2 months)) jinx: :_YuQHeart::_YuQHeart::_YuQHeart:
0:59 | (Member (1 month)) Kiri: LETS GOOOOO WILSONEERS
0:59 | TheOtakuness: Ohayuuuuuu! 
0:59 | flameing espreso (forever a kyomie)🤟🔮: OHAYUUUU
0:59 | (Member (2 months)) Koji-kun: :_YuQStick::_YuQStick::_YuQHeart:
1:00 | (Member (2 months)) •Agnes•: Vanvan and Silly Willy
1:00 | kay!: :face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:
1:01 | (Member (1 month)) boba: :_YuQArson::_YuQArson::_YuQArson:
1:01 | Carolina Barreto: LET'S GOOO
1:01 | (Member (2 months)) toastbread: :_YuQStick::_YuQStick::_YuQStick:
1:01 | (Member (2 months)) Christy^^: IM SO EXCITEDDD
1:02 | AzzieAmpie: :virtualhug::virtualhug::virtualhug:
1:02 | (Member (1 month)) Cymru Shadøw: :_YuQHeart::_YuQHeart:
1:02 | G. M. E.: IKZZZZ
1:03 | Pillow_w: let's gooo
1:03 | 『隊長𝚈𝚞𝚣𝚞𝚎𝚑𝚊』: yeyyyy
1:04 | (Member (2 months)) Y u i 🌻: :_YuQArson::_YuQArson::_YuQArson:
1:04 | (Member (1 month)) Hanayuki💫: WILSON:_YuQStick::_YuQStick::_YuQStick:
1:04 | (Member (2 months)) Mauve: :_YuQHeart::_YuQHeart::_YuQHeart:
1:06 | Nikki: :face-red-heart-shape:
1:06 | (Member (2 months)) eclipse: OHAYUUUUU
1:06 | (Member (1 month)) Jessi: :_YuQGrab::_YuQGrab::_YuQGrab:
1:06 | (New member) pogpogpurin: :_YuQArson::_YuQHeart::_YuQArson:
1:06 | (Member (2 months)) Kiwi 🥝: :_YuQArson::_YuQArson::_YuQArson:
1:07 | val !!: omg ohayu
1:07 | Pillow_w: :face-red-heart-shape::face-red-heart-shape:
1:08 | uhhhhhh: IKZ
1:08 | (Member (2 months)) RosieEmilia (Rosa): :_YuQHeart::_YuQHeart::_YuQHeart:
1:08 | (Member (2 months)) mewo /ᐠ - ˕ -マ: :_YuQArson::_YuQArson::_YuQHeart:
