0:18 | (New member) Gardenn🍃: :microphone:(^o^)7:birthday_cake:
0:18 | アイス: :microphone:(^o^)7:birthday_cake:
0:18 | Ren's suction cups: Happy Birthday Taichou!!! :yellow_heart:
0:18 | as / Azu: happy birthday!!
0:18 | (New member) Arjen: :_sonnyKeirei:
0:18 | (New member) 淮-Jun-: :microphone::_sonnyKeirei::birthday_cake:
0:18 | (New member) はねちゃ: :_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:18 | (New member) kata h: :_sonnyLight::_sonnyLight::_sonnyLight:
0:18 | (New member) あごとん: HappyBirthday!TAICHO!!:_sonnyKeirei:
0:19 | (New member) 及川徹: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:LESS GOOO
0:19 | (Moderator, New member) ShyLee: IKZZZZZZ!!!!!!!!!
0:19 | (New member) りんね: Happybirthday!!!
0:19 | kelbee: :microphone:(^o^)7:birthday_cake: 
0:19 | 1245旻亭: Happy birthday :wrapped_gift:
0:19 | Nanah: HAPPY BIRTHDAY TAICHOU!!:microphone:(^o^)7:birthday_cake:
0:19 | (New member) Celeste: :microphone:(^o^)7:birthday_cake:
0:19 | rei: :microphone:(^o^)7:birthday_cake:
0:19 | (New member) ploy w.: here we go:_sonnyKeirei:
0:19 | lanea: HAPPY BIRTHDAY TAICHOUUU :yellow_heart::yellow_heart:
0:19 | donburi: HBD:yellow_heart::yellow_heart:
0:20 | (New member) natsuki: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:20 | Deedee: LETS GOOOOOOOOOOOOOOOOOOO
0:20 | 叮噹: Happy birthday
0:20 | さとり🎑🌠: HAPPY BIRTHDAY!!!!
0:20 | eda**: lets goooooo
0:20 | Nana.___.‪: HAPPY BIRTHDAY TAICHOU!!!:party_popper::birthday_cake::yellow_heart:
0:20 | Zan: Happy birthday!!!!
0:20 | 夜弥紫桜: Happybirthday！隊長！
0:20 | (New member) ミミえ[mimi]: :_sonnyNegi::_sonnyNegi::_sonnyNegi::_sonnyNegi:
0:21 | (Moderator, New member) ShyLee: :microphone:(^o^)7:birthday_cake: 
0:21 | (New member) Adhelheid ⚡🌌: IKZZZZZZZZZZZZZZ
0:21 | YuanYuan媛媛: :yougotthis::yougotthis::yougotthis:
0:21 | melk: LEZGOOO TAICHOU!!!
0:21 | (New member) val ★彡: :microphone:(^o^)7:birthday_cake: IM SO EXCITED
0:21 | (New member) Corn🌽: IT'S STARTING
0:21 | yanyan: HAPPY BIRTHDAY SONNY!!:yellow_heart::yellow_heart::birthday_cake:
0:21 | (New member) はっぴーくっきー🍪: :microphone:(^o^)7:birthday_cake:
0:21 | ㄴ ㅏ: Y(´▽ `)Y
0:21 | (New member) Mayちゃん: :_sonnyLight::_sonnyKeirei::_sonnyNegi:
0:21 | (New member) Chocolate Lava: :_sonnyKeirei::_sonnyKeirei:
0:21 | Koco !: WOO
0:21 | (New member) Seven Heart: :_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight::_sonnyLight:
0:21 | ぶんた: :microphone:(^o^)7:birthday_cake:
0:22 | (New member) 淮-Jun-: :microphone::_sonnyKeirei::birthday_cake:
0:22 | DragondragonxD: Happy Birthday :birthday_cake: 
0:22 | (New member) tyra: :microphone: (^o^)7:birthday_cake: 
0:22 | (New member) Stephanie: :microphone:(^o^)7:birthday_cake:
0:22 | llydia: HBD！！！！
0:22 | (New member) ポテト Potato: :microphone:(^o^)7:birthday_cake:
0:22 | (New member) NEKO Yuuki: :_sonnyLove::_sonnyLove::_sonnyLove:
0:22 | mifafifiツ : happy birthday taichou! :yellow_heart:
0:22 | (New member) 💛VSF DAAAA[爆門大師]🔗: :_sonnyKeirei::_sonnyKeirei::_sonnyKeirei:
0:22 | (New member) Airi: :microphone:(^o^)7:birthday_cake:
0:22 | adonis: YESSSS
0:22 | tato: HBD BOSSSS
0:22 | (New member) Nako. : :_sonnyLight::_sonnyLight::_sonnyLight:
0:23 | mugi☁️🍀: i already warm my voice up!!!!
